,Tên sản phẩm,Giá tiền,thương hiệu,số hiệu sản phẩm,xuất xứ,giới tính,kính,máy,bảo hành quốc tế,bảo hành tại hải triều,đường kính mặt số,bề dày mặt số,niềng,dây đeo,màu mặt số,chống nước,chức năng,nơi sản xuất
988,Casio,4.244.000,Casio,SHE-4546PGL-6AUDF,Nhật Bản,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,,30 mm,5.9 mm,,Dây Da Chính Hãng,Trắng Xà Cừ,5 ATM,Lịch Ngày,Trung Quốc
989,SR,6.650.000,SR,SG60061.1302SM,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,40 mm,8.8 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày – Lịch Thứ – Lịch Trăng,Trung Quốc
990,Citizen,5.300.000,Citizen,EM0415-54W,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Eco-Drive (Năng Lượng Ánh Sáng),1 Năm,5 Năm,34.5 mm,8 mm,Thép Không Gỉ,Thép Không Gỉ,Hồng,5 ATM,,Trung Quốc
991,G-Shock,3.912.000,Casio,GA-2110SU-9ADR,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,48.5 mm x 45.4 mm,11.8 mm,Nhựa,Dây Cao Su,Đen,20 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
992,Doxa,17.850.000,Doxa,D156RBL,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,29 mm,6 mm,Thép Không Gỉ,Dây Da Chính Hãng,Xanh,3 ATM,,Thụy Sỹ
993,Fossil,5.740.000,Fossil,FS5835,Mỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,42 mm,12 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,10 ATM,,
994,Orient,22.300.000,Orient,RE-AV0001S00B,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,41 mm,12 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,5 ATM,,Trung Quốc
995,Skagen,4.650.000,Skagen,SKW2340,Đan Mạch,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),3 Năm,,30 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,,
996,Fossil,4.040.000,Fossil,FS5809,Mỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,44 mm,11 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,5 ATM,,
997,Mido,25.330.000,Mido,M027.426.16.018.00,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,40 mm,10.38 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,Lịch Ngày,
998,Seiko,8.040.000,Seiko,SUR371P1,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,40.2 mm,8.4 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh,10 ATM,Lịch Ngày,
999,Saga,5.520.000,Saga,53442-SVMWSV-2A,Mỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,24 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng Xà Cừ,3 ATM,,Trung Quốc
1000,Citizen,10.670.000,Citizen,EM0773-54D,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Eco-Drive (Năng Lượng Ánh Sáng),1 Năm,5 Năm,31 mm,8.4 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng Xà Cừ,5 ATM,,
1001,Casio,1.140.000,Casio,LA680WA-1DF,Nhật Bản,Nữ,Resin Glass (Kính Nhựa),Quartz (Pin),1 Năm,,25 mm x 23 mm,7.3 mm,,,Đen,3 ATM,Báo Thức – Bộ Bấm Giờ – Đèn LED – Vài Chức Năng Khác,Trung Quốc
1002,Fossil,4.040.000,Fossil,FS5663,Mỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,42 mm,9 mm,Thép Không Gỉ,Dây Da Chính Hãng,Vàng Nhạt,5 ATM,,Trung Quốc
1003,Tissot,11.200.000,Tissot,T101.410.22.031.00,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,39 mm,9 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,10 ATM,Lịch Ngày,Thụy Sỹ
1004,Orient,7.800.000,,,,,Mineral Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,41.7 mm,12.6 mm,Thép Không Gỉ,Thép Không Gỉ,Vàng,5 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
1005,Longines,51.750.000,Longines,L2.128.4.51.6,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,25.5 mm,9 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,3 ATM,Lịch Ngày,Thụy Sỹ
1006,Frederique,56.490.000,Frederique Constant,FC-335MC4P6B2,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,40 mm,10 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày – Lịch Mặt Trăng,Thụy Sỹ
1007,G-Shock,4.220.000,Casio,GBA-800-2A2DR,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),5 Năm,,54.1 mm x 48.6 mm,15.5 mm,Nhựa,Dây Cao Su,Đen,20 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
1008,Tissot,7.700.000,Tissot,T109.610.16.037.00,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,42 mm,6.5 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,,Thụy Sỹ
1009,Casio,3.036.000,Casio,EFV-140D-1AVUDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,43.9 mm,10.8 mm,,,Đen,10 ATM,Lịch Ngày,Trung Quốc
1010,Casio,1.192.000,Casio,LTP-V002SG-9AUDF,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,25mm,9.2 mm,,,Vàng,3 ATM,Lịch Ngày,Trung Quốc
1011,Tissot,23.450.000,Tissot,T063.907.11.038.00,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,40 mm,9.4 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,,Thụy Sỹ
1012,Citizen,7.085.000,Citizen,AW1525-81L,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Eco-Drive (Năng Lượng Ánh Sáng),1 Năm,5 Năm,45.9 mm,11.8 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh,10 ATM,Lịch Ngày,Trung Quốc
1013,Bulova,9.600.000,Bulova,98P162,Thụy Sỹ / Mỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),3 Năm,4 Năm – RED Guarantee,36 mm,6.5 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng Xà Cừ,3 ATM,Lịch Ngày,Thụy Sỹ
1014,Casio,2.410.000,Casio,A168WEGB-1BDF,Nhật Bản,Unisex,Resin Glass (Kính Nhựa),Quartz (Pin),1 Năm,,38.6 x 36.3 mm,9.6 mm,,,Xanh,3 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
1015,Daniel,4.278.000,Daniel Wellington,DW00100186,Thụy Điển,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,32 mm,6 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,,Trung Quốc
1016,Casio,3.316.000,Casio,MTD-300D-1AVDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,45.9 mm,9.5 mm,,,Đen,5 ATM,Lịch Ngày – Lịch Thứ – Đồng Hồ 24 Giờ,Trung Quốc
1017,Tissot,9.100.000,Tissot,T101.410.26.031.00,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,39 mm,9 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,10 ATM,Lịch Ngày,Thụy Sỹ
1018,Tissot,7.000.000,Tissot,T129.210.16.053.00,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,28 mm,7.1 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,5 ATM,Lịch Ngày,Thụy Sỹ
1019,Calvin,8.620.000,Calvin Klein,K9Q125Z1,Thụy Sỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,38 mm x 38 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,3 ATM,,Thụy Sỹ
1020,Daniel,3.871.000,Daniel Wellington,DW00100249,Thụy Điển,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,28 mm,6 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,,Trung Quốc
1021,Doxa,38.390.000,Doxa,D152RSV,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),2 Năm,4 Năm – RED Guarantee,41 mm,11 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Thụy Sỹ
1022,Calvin,7.040.000,Calvin Klein,K2G2G1P4,Thụy Sỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,43 mm,9 mm,Thép Không Gỉ,Thép Không Gỉ,Xám,3 ATM,Lịch Ngày,Thụy Sỹ
1023,G-Shock,4.638.000,Casio,GA-2000-1A2DR,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),5 Năm,,51.2 mm x 48.7 mm,14.1 mm,Nhựa,Dây Cao Su,Đen,20 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
1024,Doxa,36.690.000,Doxa,D183SGD,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),2 Năm,4 Năm – RED Guarantee,41 mm,11 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh Dương Đậm,5 ATM,Lịch Ngày – Lịch Thứ,Thụy Sỹ
1025,Frederique,39.040.000,Frederique Constant,FC-310MS5B6,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,40 mm,10.2 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,5 ATM,,Thụy Sỹ
1026,Daniel,4.533.000,Daniel Wellington,DW00100260,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,36 mm,6 mm,Thép Không Gỉ,Dây Vải,Trắng,3ATM,,Trung Quốc
1027,Tissot,13.300.000,Tissot,T063.617.16.037.00,Thụy Sỹ,Nam,Sapphire (kính chống trầy),Quartz (Pin),2 năm,4 năm – RED Guarantee,42 mm,11.07 mm,Thép không gỉ,Dây da chính hãng,Trắng,3 ATM,Lịch ngày – Chronograph,Thụy Sỹ
1028,Certina,14.100.000,Certina,C033.257.36.118.00,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,32.5 mm,9.1 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,10 ATM,Lịch Ngày – Lịch Trăng,
1029,Casio,985.000,Casio,A159W-N1DF,Nhật Bản,Nữ,Resin Glass (Kính Nhựa),Quartz (Pin),1 Năm,,,9.5 mm,,,Đen,3 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
1030,Calvin,4.930.000,Calvin Klein,K4D22146,Thụy Sỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,32 mm,8 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,,Thụy Sỹ
1031,SR,4.800.000,SR,SG8874.4601,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),1 Năm,5 Năm,40 mm,11 mm,Thép Không Gỉ,Dây Da Chính Hãng,Đen,5 ATM,,Trung Quốc
1032,SR,5.390.000,SR,SG8898.1102,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),1 Năm,5 Năm,42 mm,11.8 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,,
1033,Citizen,5.985.000,Citizen,NH8353-18A,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,40 mm,12 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,5 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
1034,Seiko,16.525.000,Seiko,SSA426J1,Nhật Bản,Nam,Hardlex Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,40.8 mm,12.8 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,5 ATM,Đồng Hồ 24 Giờ,
1035,Orient,23.160.000,Orient,RE-AU0001S00B,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),1 Năm,5 Năm,38.7 mm,12.8 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,5 ATM,Lịch Ngày,Trung Quốc
1036,Daniel,6.010.000,Daniel Wellington,DW00100132,Thụy Điển,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,40 mm,6 mm,Thép Không Gỉ,Dây Da Chính Hãng,Đen,3 ATM,Lịch Ngày,Trung Quốc
1037,Casio,1.529.000,Casio,LTP-1183G-7ADF,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,28mm,8.7 mm,,,Trắng,3 ATM,Lịch Ngày,Trung Quốc
1038,Daniel,3.871.000,Daniel Wellington,DW00100250,Thụy Điển,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,28 mm,6 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,,Trung Quốc
1039,Casio,932.000,Casio,MTP-V006GL-7BUDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,38 mm,8 mm,,Dây Da Chính Hãng,Trắng,3 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
1040,Tissot,17.150.000,Tissot,T101.410.11.051.00 (Nam) – T101.010.11.061.00 (Nữ),Thụy Sỹ,,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,39 mm (Nam) – 25 mm (Nữ),9 mm (Nam) – 6.8 mm (Nữ),Thép Không Gỉ,Thép Không Gỉ,Đen,10 ATM (Nam) – 10 ATM (Nữ),Lịch Ngày,
1041,Certina,19.610.000,Certina,C029.807.16.031.60,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),2 Năm,4 Năm – RED Guarantee,40 mm,10.9 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,10 ATM,Lịch Ngày,
1042,Michael,7.260.000,Michael Kors,MK3971,Mỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,36 mm,10 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh,5 ATM,,Trung Quốc
1043,Daniel,4.940.000,Daniel Wellington,DW00100307,Thụy Điển,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,36 mm,6 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,3 ATM,,Trung Quốc
1044,Saga,5.244.000,Saga,80737-SVPLSV-2L,Mỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,20 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Tím,3 ATM,,Trung Quốc
1045,Doxa,127.300.000,Doxa (Phiên Bản Giới Hạn 800 Chiếc Trên Toàn Thế Giới),D198RAB,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),2 Năm,4 Năm – RED Guarantee,42 mm,11 mm,Thép Không Gỉ,Thép Không Gỉ,Xanh Mã Não,5 ATM,Lịch Ngày,Thụy Sỹ
1046,Calvin,5.990.000,Calvin Klein,K9R31CD6,Thụy Sỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,42 mm,11 mm,Thép Không Gỉ,Dây Cao Su,Trắng,10 ATM,Lịch Ngày,Thụy Sỹ
1047,G-Shock,6.181.000,Casio,DW-5735D-1BDR,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),5 Năm,,48.9 mm x 45.5 mm,14.2 mm,Nhựa,Dây Cao Su,Đen,20 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
1048,Candino,6.730.000,Candino,C4365/3,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,5 Năm,27 mm,5 mm,Thép Không Gỉ,Thép Không Gỉ,Vàng,3 ATM,,
1049,Orient,4.340.000,Orient,RA-AB0E10S19B,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,39 mm,11 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
1050,Fossil,3.650.000,Fossil,ES4821,Mỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,32 mm,10 mm,Thép Không Gỉ,Thép Không Gỉ,Nâu,5 ATM,Lịch Ngày,Trung Quốc
1051,Seiko,11.940.000,Seiko,SRP775K1,Nhật Bản,Nam,Hardlex Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,45 mm,13 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,20 ATM,Lịch Ngày – Lịch Thứ,
1052,Casio,2.177.000,Casio,MTP-V300G-1AUDF,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,40 mm,8.6 mm,,,Đen,3 ATM,Lịch Ngày – Lịch Thứ – Đồng Hồ 24 Giờ,Trung Quốc
1053,Casio,1.036.000,Casio,LW-204-4ADF,Nhật Bản,Nam,Resin Glass (Kính Nhựa),Quartz (Pin),1 Năm,,38.9 mm x 35 mm,9.4 mm,,Dây Nhựa,Hồng Nhạt,5 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Vài Chức Năng Khác,Trung Quốc
1054,Daniel,4.737.000,Daniel Wellington,DW00100513,Thụy Điển,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,28 mm,6 mm,Thép Không Gỉ,Thép Không Gỉ,Hồng Xà Cừ,3 ATM,,Trung Quốc
1055,Citizen,7.400.000,Citizen,EX1483-84A,Nhật Bản,Nữ,Sapphire (Kính Chống Trầy),Eco-Drive (Năng Lượng Ánh Sáng),1 Năm,5 Năm,30 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,,Trung Quốc
1056,Citizen,11.185.000,Citizen,NP1026-86A,Nhật Bản,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),1 Năm,5 Năm,40 mm,10.7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lên dây cót – Open Heart – Đồng Hồ 24 Giờ – Small Second,Trung Quốc
1057,Saga,4.450.000,Saga,71836-RGSVBK-2,Mỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,20 mm x 37 mm,8 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,,Trung Quốc
1058,Calvin,9.110.000,Calvin Klein,K5A371C6,Thụy Sỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,41 mm,13 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,10 ATM,Lịch Ngày – Chronograph,Thụy Sỹ
1059,Candino,7.420.000,Candino,C4619/1,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,5 Năm,40 mm,8 mm,Thép Không Gỉ,Dây Da Chính Hãng,Vàng Nhạt,5 ATM,Lịch Ngày,
1060,Calvin,7.540.000,Calvin Klein,K5R33B4G,Thụy Sỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,30 mm,7 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,Lịch Ngày,Thụy Sỹ
1061,Tissot,21.000.000,Tissot,T122.407.11.033.00,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,40 mm,10.3 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Thụy Sỹ
1062,Orient,4.020.000,Orient,RF-QD0001S10B,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,5 Năm,39 mm,7 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,Lịch Ngày,
1063,G-Shock,5.441.000,Casio,GBD-200SM-1A5DR,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,49.4 mm x 45.9 mm,15 mm,Nhựa,Dây Cao Su,Đen,20 ATM,Lịch – Bộ Bấm Giờ – Giờ Kép – Đèn Led – Vài Chức Năng Khác,Trung Quốc
1064,Casio,1.633.000,Casio,MTP-VD02B-3EUDF,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),1 Năm,,41 mm,9.6 mm,,,Xanh,3 ATM,Lịch Ngày,Trung Quốc
1065,Certina,42.900.000,Certina,C034.807.22.013.00 (Nam) – C001.007.22.013.00 (Nữ),Thụy Sỹ,,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),2 Năm,4 RED Guarantee,39 mm (Nam) – 29 mm (Nữ),9.8 mm (Nam) – 9 mm (Nữ),Thép Không Gỉ,Thép Không Gỉ,Trắng,10 ATM (Nam) – 10 ATM (Nữ),Lịch Ngày,
1066,Candino,6.730.000,Candino,C4363/2,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,5 Năm,36 mm,5 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,,
1067,Doxa,33.190.000,Doxa,D218SCM,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,41 mm,11 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày – Lịch Thứ,Thụy Sỹ
1068,Tissot,12.600.000,Tissot,T101.210.33.031.00,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,,33 mm,9 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,10 ATM,Lịch Ngày,Thụy Sỹ
1069,Candino,8.780.000,Candino,C4318/D,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,5 Năm,38 mm,9 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,
1070,Tissot,18.030.000,Tissot,T109.410.11.033.10 (Nam) – T109.210.11.033.10 (Nữ),Thụy Sỹ,,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,38 mm (Nam) – 30 mm (Nữ),6.5 mm (Nam) – 6.2 mm (Nữ),Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM (Nam) – 3 ATM (Nữ),,
1071,Doxa,18.950.000,Doxa,D136RWH,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,29 mm,mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Thụy Sỹ
1072,Fossil,3.370.000,Fossil,FS5534,Mỹ,Nam,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,5 Năm,44 mm,11 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,5 ATM,Lịch Ngày,
1073,Longines,31.020.000,Longines,L4.860.4.11.2,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,35 mm,8 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,3 ATM,Lịch Ngày,Thụy Sỹ
1074,Citizen,5.585.000,Citizen,NH8360-12A,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,40.8 mm,11.1 mm,Thép Không Gỉ,Dây Da Chính Hãng,Trắng,5 ATM,Lịch Ngày – Lịch Thứ,
1075,Citizen,5.200.000,Citizen,FE6010-50A,Nhật Bản,Nữ,Mineral Crystal (Kính Cứng),Eco-Drive (Năng Lượng Ánh Sáng),12 Tháng,5 Năm,33mm,8mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,5 ATM,Lịch Ngày,Trung Quốc
1076,Citizen,5.985.000,Citizen,NH8363-14H,Nhật Bản,Nam,Mineral Crystal (Kính Cứng),Automatic (Tự Động),1 Năm,5 Năm,41 mm,11.2 mm,Thép Không Gỉ,Dây Da Chính Hãng,Đen,5 ATM,Lịch Ngày – Lịch Thứ,Trung Quốc
1077,Doxa,23.740.000,Doxa,D195SSD,Thụy Sỹ,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,25 mm x 37 mm,9 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,Lịch Ngày,
1078,Doxa,39.470.000,Doxa,D224RGY,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Tự Động),2 Năm,4 Năm – RED Guarantee,41 mm,11 mm,Thép Không Gỉ,Dây Da Chính Hãng,Đen,5 ATM,Lịch Ngày,
1079,Doxa,81.990.000,Doxa (Phiên Bản Giới Hạn 800 Chiếc Trên Toàn Thế Giới),D198STB,Thụy Sỹ,Nam,Sapphire (Kính Chống Trầy),Automatic (Cơ Tự Động),2 Năm,4 Năm – RED Guarantee,42 mm,11 mm,Thép Không Gỉ,Thép Không Gỉ,Nâu Mắt Hổ,5 ATM,Lịch Ngày,Thụy Sỹ
1080,Calvin,9.180.000,Calvin Klein,K3G23526,Thụy Sỹ,Nữ,Mineral Crystal (Kính Cứng),Quartz (Pin),2 Năm,4 Năm – RED Guarantee,34 mm,8 mm,Thép Không Gỉ,Thép Không Gỉ,Trắng,3 ATM,,Thụy Sỹ
1081,SR,2.000.000,SR,SL1073.1201TE,Nhật Bản,Nữ,Sapphire (Kính Chống Trầy),Quartz (Pin),1 Năm,5 Năm,30 mm,6 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,5 ATM,Lịch Ngày,Trung Quốc
