Thương hiệu,Giá tiền (VNĐ),Chất liệu dây,Chất liệu vỏ,Xuất xứ,Giới tính,Chất liệu mặt kính,Độ chịu nước (ATM),Bảo hành,Kiểu máy,Kích cỡ (mm)
Aries Gold,3352500,Dây da,Thép không gỉ,Singapore,Nam,Kính sapphire,5,2,Quartz,40
Atlantic Swiss,7839000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nữ,Kính sapphire,3,2,Quartz,34
Olym Pianus,5040000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,3,1,Automatic,40
Citizen,3410000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính cứng,5,1,Quartz,41
Q&Q Citizen,1080000,Dây cao su,Nhựa,Trung Quốc,Nam,Kính cứng,10,1,Quartz,52
Bruno Sohnle,19692000,Dây da,Thép không gỉ,Đức,Nữ,Kính sapphire,5,2,Quartz,35
Seiko,8100000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính cứng,10,1,Solar,43
Orient,2737000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính cứng,5,1,Quartz,43
Calvin Klein,9378000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nữ,Kính cứng,3,2,Quartz,23.1
Seiko,5840000,Dây cao su,Thép không gỉ,Nhật Bản,Nam,Kính cứng,10,1,Quartz,44
Orient,9680000,Dây da,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,5,1,Automatic,41.5
Orient,9500000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nữ,Kính cứng,3,1,Automatic,36.4
Doxa,31390000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,3,2,Automatic,41
Casio,3628000,Dây cao su,Nhựa,Nhật Bản,Nam,Kính cứng,20,5,Quartz,48.5
Citizen,8976000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính cứng,20,1,Eco-Drive,44
Casio,2177000,Dây da,,Nhật Bản,Nam,Kính cứng,10,1,Quartz,41
Saga,7120000,Thép không gỉ,Thép không gỉ,Mỹ,Nữ,Kính cứng,3,2,Quartz,24
Stuhrling,6637500,Dây da,Thép không gỉ,Trung Quốc,Nam,Kính cứng,5,2,Quartz,40
